City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
702,Cotonou,BJ,76.28,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
704,Hagi,JP,76.55,broken clouds,34.4,131.4167,Hagi Ichirin
707,Beyneu,KZ,88.48,overcast clouds,45.3167,55.2,NUR
709,Auch,FR,80.89,clear sky,43.65,0.5833,Hotel Le Domaine De Baulieu
711,Ailigandi,PA,78.69,overcast clouds,9.2333,-78.0167,Akwa Reef Lodge
714,Waddan,LY,80.1,clear sky,29.1614,16.139,محل الشريف محمد العايب
715,Kieta,PG,79.36,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
716,Dzilam Gonzalez,MX,88.68,scattered clouds,21.2833,-88.9333,posadas
717,Sao Joao Da Barra,BR,75.29,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
719,Teknaf,BD,80.76,moderate rain,20.8624,92.3058,Forestry Guesthouse
721,Thinadhoo,MV,81.19,overcast clouds,0.5333,72.9333,
722,Ha Tinh,VN,75.13,broken clouds,18.3333,105.9,Phú Quý
723,Santiago Del Estero,AR,77.56,few clouds,-27.7951,-64.2615,Apartamentos Castelli 90
725,Lasem,ID,75.24,broken clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Warung & Community Center"
726,Bandarban,BD,76.8,overcast clouds,22.1965,92.2262,HOTEL PLAZA BANDARBAN
727,Urucara,BR,85.57,broken clouds,-2.5364,-57.76,Pousada Maria Bonita
