City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
114,Saldanha,ZA,2022-07-17 04:34:30,-33.0117,17.9442,57.25,67,0,12.46
115,Port Augusta,AU,2022-07-17 04:34:30,-32.5,137.7667,61.34,47,100,12.08
116,Kilindoni,TZ,2022-07-17 04:34:30,-7.9139,39.6668,76.19,75,9,18.79
117,Wilmington,US,2022-07-17 04:34:28,34.2257,-77.9447,81.86,86,20,4.61
118,Coquimbo,CL,2022-07-17 04:34:15,-29.9533,-71.3436,47.93,71,0,8.05
119,New Norfolk,AU,2022-07-17 04:34:31,-42.7826,147.0587,51.93,73,68,5.99
120,Asau,RO,2022-07-17 04:34:31,46.4333,26.4,58.28,56,15,3.53
121,Castro,BR,2022-07-17 04:34:32,-24.7911,-50.0119,62.58,89,100,9.04
122,Quatre Cocos,MU,2022-07-17 04:34:32,-20.2078,57.7625,72.09,71,33,16.26
123,Sinjar,IQ,2022-07-17 04:34:33,36.3209,41.8754,89.08,29,0,4.56
124,Renukut,IN,2022-07-17 04:34:33,24.2,83.0333,93.02,48,26,13.47
125,Elat,IL,2022-07-17 04:34:33,29.5581,34.9482,82.24,51,0,9.22
126,Mount Gambier,AU,2022-07-17 04:25:12,-37.8333,140.7667,53.51,71,75,18.41
127,Carbonear,CA,2022-07-17 04:30:17,47.7332,-53.2148,60.64,84,36,4.36
128,Haines Junction,CA,2022-07-17 04:34:34,60.7522,-137.5108,53.55,76,100,4.61
129,San Diego De Los Banos,CU,2022-07-17 04:34:34,22.6467,-83.3697,73.99,91,24,1.45
130,Cape Town,ZA,2022-07-17 04:34:35,-33.9258,18.4232,63.91,51,0,7.0
131,Araouane,ML,2022-07-17 04:34:35,18.9048,-3.5265,87.19,48,92,15.21
132,Sao Filipe,CV,2022-07-17 04:34:35,14.8961,-24.4956,75.02,85,9,7.65
133,East London,ZA,2022-07-17 04:34:36,-33.0153,27.9116,59.94,47,0,4.61
134,Hudiksvall,SE,2022-07-17 04:34:36,61.729,17.1036,54.57,61,58,13.71
135,Ribeira Grande,PT,2022-07-17 04:34:36,38.5167,-28.7,70.3,92,9,6.06
136,Morehead,US,2022-07-17 04:34:37,37.2711,-87.1764,82.78,87,0,0.0
137,Mehendiganj,BD,2022-07-17 04:34:37,22.8167,90.5333,88.57,69,54,18.66
138,Mujiayingzi,CN,2022-07-17 04:28:51,42.1167,118.7833,73.76,64,89,3.6
139,Te Anau,NZ,2022-07-17 04:35:30,-45.4167,167.7167,43.83,97,100,6.98
140,Birao,CF,2022-07-17 04:35:38,10.2849,22.7882,70.48,93,84,3.6
141,Tanout,NE,2022-07-17 04:35:38,14.9709,8.8879,81.18,62,93,9.53
142,Abiramam,IN,2022-07-17 04:35:38,9.4667,78.45,90.97,46,99,3.31
143,Sumbe,AO,2022-07-17 04:35:39,-11.2061,13.8437,67.48,90,68,4.18
144,Istanbul,TR,2022-07-17 04:35:24,41.0351,28.9833,75.06,78,0,9.22
145,Fortuna,US,2022-07-17 04:35:39,40.5982,-124.1573,59.94,86,29,5.01
146,Galveston,US,2022-07-17 04:35:40,29.3669,-94.9669,84.96,86,4,1.01
147,Olean,US,2022-07-17 04:35:40,42.0776,-78.4297,64.98,59,0,3.44
148,Gayeri,BF,2022-07-17 04:35:40,12.6497,0.4931,74.7,81,100,5.93
149,Aljezur,PT,2022-07-17 04:35:41,37.3191,-8.8033,64.42,93,9,5.39
150,Sola,VU,2022-07-17 04:35:41,-13.8833,167.55,79.99,78,24,23.8
151,Ruidoso,US,2022-07-17 04:35:41,33.3317,-105.673,74.97,37,0,8.05
152,Kamuli,UG,2022-07-17 04:35:42,0.9472,33.1197,66.97,74,18,2.24
153,Severo-Kurilsk,RU,2022-07-17 04:32:16,50.6789,156.125,55.0,93,96,0.76
154,Valparaiso,CL,2022-07-17 04:29:00,-33.0393,-71.6273,47.84,81,0,8.05
155,Pevek,RU,2022-07-17 04:35:42,69.7008,170.3133,32.79,99,100,17.34
156,Taoudenni,ML,2022-07-17 04:35:43,22.6783,-3.9836,98.76,21,84,4.81
157,Sao Raimundo Nonato,BR,2022-07-17 04:35:43,-9.0153,-42.6994,72.91,56,7,8.66
