City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
134,Smoky Lake,54.1169,-112.4686,75.78,43,99,10.36,CA,overcast clouds
135,Lebu,-37.6167,-73.65,53.13,81,98,9.6,CL,overcast clouds
136,Sitka,57.0531,-135.33,55.29,88,100,3.44,US,overcast clouds
137,Dembi Dolo,8.5333,34.8,55.06,91,46,3.22,ET,scattered clouds
138,Kharitonovo,61.4009,47.4978,63.86,78,100,5.28,RU,overcast clouds
139,Jyvaskyla,62.2415,25.7209,68.13,85,0,1.14,FI,clear sky
140,Mantua,45.1667,10.7833,88.84,55,1,1.99,IT,clear sky
141,Baiyin,36.5583,104.2081,54.63,80,62,4.41,CN,broken clouds
142,Tilichiki,60.4667,166.1,56.12,55,0,7.05,RU,clear sky
143,Itarema,-2.9248,-39.9167,82.65,68,57,15.59,BR,broken clouds
144,Xifeng,42.7372,124.7222,66.43,93,99,2.53,CN,overcast clouds
145,Ostrovnoy,68.0531,39.5131,53.76,81,99,5.95,RU,overcast clouds
146,Saint-Denis,48.9167,2.3333,76.14,68,0,9.22,FR,clear sky
147,Saint George,37.1041,-113.5841,110.79,13,0,5.75,US,clear sky
148,Bredasdorp,-34.5322,20.0403,47.88,87,100,1.86,ZA,overcast clouds
149,Merauke,-8.4667,140.3333,75.06,87,25,7.27,ID,scattered clouds
150,Wenling,28.3669,121.36,78.84,90,40,1.83,CN,scattered clouds
151,Bayan,46.0833,127.4,64.35,87,1,2.86,CN,clear sky
152,Broome,42.2506,-75.833,89.89,50,20,13.8,US,few clouds
153,Kruisfontein,-34.0033,24.7314,50.31,86,0,3.22,ZA,clear sky
154,Saskylakh,71.9167,114.0833,47.44,75,100,7.72,RU,overcast clouds
155,Tselinnoye,53.0833,85.6667,59.16,92,100,10.18,RU,light rain
156,Muros,42.7762,-9.0603,69.1,83,93,14.7,ES,overcast clouds
157,Sarahan,31.5167,77.8,63.01,93,99,0.49,IN,light rain
158,Serebryanyy Bor,56.8,124.8,57.29,96,63,1.83,RU,broken clouds
159,Thompson,55.7435,-97.8558,66.36,63,75,10.36,CA,broken clouds
160,Karasjok,69.4719,25.5112,58.64,94,100,6.96,NO,overcast clouds
161,Undory,54.6085,48.3928,61.84,77,99,11.59,RU,light rain
162,Hermanus,-34.4187,19.2345,53.67,75,100,0.96,ZA,overcast clouds
163,Haines Junction,60.7522,-137.5108,52.43,71,100,6.6,CA,overcast clouds
164,Ambulu,-8.345,113.6058,72.03,90,97,3.67,ID,overcast clouds
165,Castro,-24.7911,-50.0119,67.08,72,39,4.23,BR,scattered clouds
166,Neuquen,-38.9516,-68.0591,55.29,41,0,4.61,AR,clear sky
167,La Ronge,55.1001,-105.2842,70.02,49,75,19.57,CA,broken clouds
168,Ulaangom,49.9811,92.0667,60.6,54,73,3.27,MN,broken clouds
169,Lubango,-14.9172,13.4925,57.6,34,0,3.06,AO,clear sky
170,Hambantota,6.1241,81.1185,79.27,81,99,19.3,LK,moderate rain
171,Vostok,46.4856,135.8833,59.27,99,99,2.04,RU,overcast clouds
172,Arcata,40.8665,-124.0828,90.75,79,100,8.05,US,overcast clouds
173,Abu Samrah,35.3029,37.1841,77.14,53,0,11.86,SY,clear sky
174,Kyabe,9.4515,18.9449,76.24,77,66,1.63,TD,broken clouds
175,Walldurn,49.5833,9.3667,69.37,67,20,2.98,DE,few clouds
176,Bluff,-46.6,168.3333,37.8,85,80,10.22,NZ,broken clouds
177,Linxia,35.6003,103.2064,48.74,88,1,4.45,CN,clear sky
